Name,Age,Hours_Studied,Marks
Gita,18,8,96
Anita,22,3,77
Ram,18,6,72
Aayush,23,8,84
Rita,22,1,96
Sita,20,4,78
Shyam,22,5,93
Sita,22,4,73
Anita,20,8,95
Ram,21,5,99
Kiran,20,3,72
Kiran,23,8,96
Ram,24,5,77
Bikash,21,6,94
Anita,22,1,91
Sita,23,3,81
Shyam,21,5,90
Aayush,23,3,56
Anita,19,3,67
Kiran,21,4,75
Aayush,21,3,62
Sita,20,4,79
Ram,19,3,88
Sita,20,4,68
Bikash,18,5,78
Hari,21,2,70
Gita,23,3,100
Bikash,23,8,86
Sita,21,5,75
Kiran,19,8,91
Gita,22,7,87
Aayush,21,1,76
Shyam,21,2,60
Shyam,20,5,73
Sita,19,1,95
Hari,18,3,61
Gita,23,5,81
Bikash,21,1,62
Hari,19,6,94
Shyam,24,8,90
Sita,23,5,100
Shyam,22,3,67
Rita,24,4,86
Aayush,23,2,72
Anita,18,3,60
Ram,20,4,97
Shyam,18,7,86
Sita,24,4,71
Ram,19,2,83
Anita,22,7,82
Aayush,20,4,94
Anita,24,7,89
Ram,19,4,95
Bikash,19,3,69
Hari,24,5,97
Bikash,20,2,57
Ram,22,7,94
Ram,23,7,84
Shyam,19,1,95
Ram,18,2,71
Shyam,20,7,76
Rita,19,4,74
Kiran,23,8,96
Aayush,23,4,87
Bikash,23,5,98
Ram,23,7,90
Anita,22,3,62
Anita,22,2,97
Bikash,20,1,60
Ram,18,8,100
Rita,23,7,79
Sita,22,3,76
Rita,19,1,54
Kiran,20,3,86
Gita,23,4,72
Anita,24,2,56
Kiran,23,7,92
Ram,23,4,62
Bikash,23,1,100
Anita,24,4,96
Sita,23,7,86
Sita,19,7,93
Gita,24,7,91
Sita,20,4,82
Shyam,21,6,100
Shyam,24,5,72
Shyam,22,3,94
Bikash,23,8,80
Rita,21,6,90
Rita,22,5,91
Ram,19,8,82
Anita,19,8,83
Bikash,18,2,92
Bikash,20,8,87
Kiran,18,2,98
Ram,21,4,76
Aayush,23,4,93
Hari,18,2,83
Aayush,22,1,67
Aayush,22,6,70
