Name,Age,Hours_Studied,Marks
Hari,23,2,66
Aayush,20,5,69
Aayush,18,6,78
Bikash,21,6,99
Ram,18,3,98
Hari,20,3,63
Shyam,22,8,92
Hari,22,6,79
Kiran,18,3,69
Anita,23,2,98
Shyam,20,7,75
Sita,18,1,59
Rita,23,1,89
Bikash,20,2,54
Kiran,22,4,73
Shyam,23,3,72
Aayush,21,2,58
Shyam,22,4,88
Ram,21,1,65
Kiran,22,7,93
Shyam,21,1,64
Shyam,21,4,65
Hari,24,3,87
Sita,19,8,90
Sita,18,1,69
Bikash,22,8,81
Sita,18,8,81
Aayush,20,2,63
Aayush,19,8,92
Rita,21,5,96
Ram,20,8,84
Gita,19,5,93
Gita,18,2,89
Kiran,22,2,58
Aayush,18,3,93
Bikash,24,1,58
Hari,19,6,87
Rita,22,8,100
Ram,20,8,99
Sita,21,6,99
Shyam,18,2,76
Anita,21,7,83
Bikash,22,8,94
Kiran,19,2,98
Ram,20,6,78
Rita,19,4,60
Sita,22,2,81
Kiran,18,8,81
Bikash,21,4,60
Bikash,20,8,92
Rita,24,3,98
Bikash,24,3,78
Rita,24,6,87
Hari,18,4,82
Gita,18,8,82
Ram,19,8,80
Hari,22,7,89
Gita,23,2,68
Gita,24,8,100
Aayush,18,1,59
Hari,21,5,77
Kiran,19,7,95
Gita,18,5,93
Hari,19,1,66
Kiran,20,8,98
Gita,24,2,69
Shyam,22,3,61
Aayush,19,7,83
Ram,24,2,66
Anita,19,7,79
Kiran,23,8,98
Bikash,19,1,75
Ram,19,5,80
Hari,23,7,98
Rita,21,5,99
Gita,20,7,99
Gita,22,2,100
Kiran,24,1,57
Kiran,19,2,53
Bikash,21,1,56
Anita,23,6,98
Sita,23,8,93
Anita,22,8,93
Aayush,19,1,52
Hari,19,5,79
Aayush,20,7,89
Hari,23,5,66
Shyam,24,4,77
Sita,21,4,68
Hari,18,3,93
Anita,22,3,58
Aayush,18,6,81
Kiran,19,7,87
Ram,18,7,80
Kiran,22,8,86
Rita,24,6,88
Ram,19,2,57
Rita,22,7,81
Rita,23,1,100
Rita,20,2,67
